title,price,bed,bath,area(sq.ft.)
"15866 Carlisle Street Detroit, MI 48205","82,500",3,1.5,"1,020"
"18905 Evergreen Road Detroit, MI 48219","124,999",4,2,864
"16549 Washburn Street Detroit, MI 48221","75,000",3,1.5,"1,555"
"11204 Stockwell Street Detroit, MI 48224","82,000",3,1,"1,178"
"5744 Whittier Avenue Detroit, MI 48224","109,500",3,1,"1,378"
"8435 Burt Road Detroit, MI 48228","52,500",3,1,924
"18026 Ardmore Street Detroit, MI 48235","71,000",3,1,"1,296"
"6839 Westwood Street Detroit, MI 48228","79,900",3,1,"1,098"
"1403 South Liebold Street Detroit, MI 48217","55,000",4,2,"1,914"
"11921 Lansdowne Street Detroit, MI 48224","83,500",3,1.5,".gMuNcH{display:-webkit-box;display:-webkit-flex;display:-ms-flexbox;display:flex;-webkit-flex-direction:column;-ms-flex-direction:column;flex-direction:column;}/*!sc*/
.gMuNcH > *{margin-bottom:1px;}/*!sc*/
.gMuNcH > *:last-child{margin-bottom:0px;}/*!sc*/
data-styled.g86[id=""ZoomButtonsContainer-sc-3zh8l7""]{content:""gMuNcH,""}/*!sc*/
.dkgAax{display:-webkit-box;display:-webkit-flex;display:-ms-flexbox;display:flex;-webkit-flex-direction:column;-ms-flex-direction:column;flex-direction:column;-webkit-box-pack:center;-webkit-justify-content:center;-ms-flex-pack:center;justify-content:center;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;margin-left:0 !important;width:32px;height:32px;box-shadow:var(--cx-dropShadow,0px 1px 2px 0px rgba(0,0,0,0.4));}/*!sc*/
data-styled.g87[id=""ZoomButtonContainer-sc-13kwus3""]{content:""dkgAax,""}/*!sc*/
.ljoYPM{box-shadow:var(--cx-dropShadow,0px 1px 2px 0px rgba(0,0,0,0.4));}/*!sc*/
data-styled.g101[id=""DrawButton-sc-ri69gf""]{content:""ljoYPM,""}/*!sc*/
.gjFysP{width:64px;display:-webkit-box;display:-webkit-flex;display:-ms-flexbox;display:flex;-webkit-flex-direction:column;-ms-flex-direction:column;flex-direction:column;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;-webkit-box-pack:center;-webkit-justify-content:center;-ms-flex-pack:center;justify-content:center;box-shadow:var(--cx-dropShadow,0px 1px 2px 0px rgba(0,0,0,0.4));}/*!sc*/
data-styled.g107[id=""SquareButton-sc-1ay2or6""]{content:""gjFysP,""}/*!sc*/
.gJddiW{width:64px;height:64px;border-radius:12px;padding:0;background:url(/ucfe-assets/toolbar-core.react/4.7.3/satellite.png) 0 0 no-repeat;background-size:cover;border:2px solid var(--cx-color-background);box-shadow:var(--cx-dropShadow,0px 1px 2px 0px rgba(0,0,0,0.4));}/*!sc*/
.gJddiW:focus{border-color:var(--cx-color-background);}/*!sc*/
data-styled.g108[id=""BasemapToggleContainer-sc-1jsheei""]{content:""gJddiW,""}/*!sc*/
.gwQbKs{font-size:var(--cx-font-sizeCaption1);font-weight:var(--cx-font-weightSemiBold);font-family:var(--cx-font-familyLegible);color:var(--cx-color-background);margin:0 auto;height:100%;display:-webkit-box;display:-webkit-flex;display:-ms-flexbox;display:flex;-webkit-box-pack:center;-webkit-justify-content:center;-ms-flex-pack:center;justify-content:center;-webkit-align-items:flex-end;-webkit-box-align:flex-end;-ms-flex-align:flex-end;align-items:flex-end;-webkit-filter:drop-shadow(0 0 3px #6c6c6c80);filter:drop-shadow(0 0 3px #6c6c6c80);}/*!sc*/
data-styled.g109[id=""BasemapToggleText-sc-gpia47""]{content:""gwQbKs,""}/*!sc*/
.cmJveZ{pointer-events:all;}/*!sc*/
data-styled.g178[id=""ActionableContainer-sc-19fdqea""]{content:""cmJveZ,""}/*!sc*/
.lcQteb{position:absolute;top:0;left:0;z-index:var(--cx-zIndex-2);width:100%;pointer-events:none;}/*!sc*/
data-styled.g179[id=""MapToolbarContainer-sc-tygwxe""]{content:""lcQteb,""}/*!sc*/
.cqVgje{display:-webkit-box;display:-webkit-flex;display:-ms-flexbox;display:flex;width:100%;-webkit-flex-flow:row-reverse;-ms-flex-flow:row-reverse;flex-flow:row-reverse;box-sizing:border-box;padding:var(--gutter);pointer-events:none;}/*!sc*/
@media (max-width:511px){.cqVgje{display:none;}}/*!sc*/
data-styled.g180[id=""DrawButtonContainer-sc-efg1lj""]{content:""cqVgje,""}/*!sc*/
.bRHeli{position:relative;}/*!sc*/
data-styled.g181[id=""MapToolbarContainer-sc-g4xiig""]{content:""bRHeli,""}/*!sc*/
.cOaRii{display:none;}/*!sc*/
@media (min-width:512px){.cOaRii{display:-webkit-box;display:-webkit-flex;display:-ms-flexbox;display:flex;-webkit-flex-direction:row;-ms-flex-direction:row;flex-direction:row;-webkit-box-pack:justify;-webkit-justify-content:space-between;-ms-flex-pack:justify;justify-content:space-between;-webkit-align-items:center;-webkit-box-align:center;-ms-flex-align:center;align-items:center;position:absolute;right:16px;bottom:16px;z-index:1;}.cOaRii > *{margin-right:5px;}.cOaRii > *:last-child{margin-right:0px;}}/*!sc*/
@media (min-width:768px){.cOaRii{right:var(--gutter);bottom:var(--gutter);}}/*!sc*/
data-styled.g182[id=""BottomRightWebContainer-sc-1xx4188""]{content:""cOaRii,""}/*!sc*/
.ceJYTN{display:none;}/*!sc*/
@media (max-width:511px){.ceJYTN{display:-webkit-box;display:-webkit-flex;display:-ms-flexbox;display:flex;-webkit-flex-direction:column;-ms-flex-direction:column;flex-direction:column;position:absolute;bottom:35px;right:16px;margin:0;padding:0;z-index:var(--cx-zIndex-1);}.ceJYTN > *{margin-bottom:4px;}.ceJYTN > *:last-child{margin-bottom:0px;}}/*!sc*/
data-styled.g184[id=""BottomRightMobileContainer-sc-kg4qlo""]{content:""ceJYTN,""}/*!sc*/
.YydlR{-webkit-transition:-webkit-transform 0.175s ease,opacity 0.175s ease;-webkit-transition:transform 0.175s ease,opacity 0.175s ease;transition:transform 0.175s ease,opacity 0.175s ease;-webkit-transform:translateY(0);-ms-transform:translateY(0);transform:translateY(0);opacity:1;}/*!sc*/
data-styled.g185[id=""ButtonWithTransition-sc-13dc2xk""]{content:""YydlR,""}/*!sc*/
.gtOYAb{position:relative;-webkit-flex:auto;-ms-flex:auto;flex:auto;width:100%;height:100%;border-top:1px solid rgb(0,0,0,0.08);overflow:hidden;background:transparent;}/*!sc*/
@media (min-width:768px){.gtOYAb{border-right:1px solid rgb(0,0,0,0.08);}}/*!sc*/
data-styled.g186[id=""Container-sc-16bgj12""]{content:""gtOYAb,""}/*!sc*/
"
"19953 Patton Street Detroit, MI 48219","88,000",3,1,901
"20215 Packard Street Detroit, MI 48234","94,400",3,1,"1,095"
"16242 Cheyenne Street Detroit, MI 48235","81,000",3,1,"1,123"
"10653 Lakepointe Street Detroit, MI 48224","79,900",3,1,"1,250"
"14650 Rutherford Street Detroit, MI 48227","126,900",6,2,"2,526"
"9200 King Richard Street Detroit, MI 48224","79,000",3,1,"1,310"
"19318 Murray Hill Street Detroit, MI 48235","65,900",3,1,"1,067"
"13565 Northlawn Street Detroit, MI 48238","85,000",4,2,"2,330"
"12800 Santa Clara Street Detroit, MI 48235","139,900",3,2,"1,719"
